Version,ID,Book,Chapter,Chapter Title,Content
"Amplified Bible, Classic Edition",AMPC,1 John,2,,"My little children, I write you these things so that you may not violate Gods law and sin. But if anyone should sin, we have an Advocate (One Who will intercede for us) with the Father[it is] Jesus Christ [the all] righteous [upright, just, Who conforms to the Fathers will in every purpose, thought, and action]. 2 And He [[a]that same Jesus Himself] is the propitiation (the atoning sacrifice) for our sins, and not for ours alone but also for [the sins of] the whole world. 3 And this is how we may discern [[b]daily, by experience] that we are coming to know Him [to perceive, recognize, understand, and become better acquainted with Him]: if we keep (bear in mind, observe, practice) His teachings (precepts, commandments). 4 Whoever says, I know Him [I perceive, recognize, understand, and am acquainted with Him] but fails to keep and obey His commandments (teachings) is a liar, and the Truth [[c]of the Gospel] is not in him. 5 But he who keeps (treasures) His Word [who bears in mind His precepts, who observes His message in its entirety], truly in him has the love of and for God been perfected (completed, reached maturity). By this we may perceive (know, recognize, and be sure) that we are in Him: 6 Whoever says he abides in Him ought [as [d]a personal debt] to walk and conduct himself in the same way in which He walked and conducted Himself. 7 Beloved, I am writing you no new commandment, but an old commandment which you have had from the beginning; the old commandment is the message which you have heard [the [e]doctrine of salvation through Christ]. 8 Yet I am writing you a new commandment, which is true (is realized) in Him and in you, because the darkness ([f]moral blindness) is clearing away and the true Light ([g]the revelation of God in Christ) is already shining. 9 Whoever says he is in the Light and [yet] hates his brother [Christian, [h]born-again child of God his Father] is in darkness even until now. 10 Whoever loves his brother [believer] abides (lives) in the Light, and in It or in him there is no occasion for stumbling or cause for error or sin. 11 But he who hates (detests, despises) his brother [[i]in Christ] is in darkness and walking (living) in the dark; he is straying and does not perceive or know where he is going, because the darkness has blinded his eyes. 12 I am writing to you, little children, because for His names sake your sins are forgiven [pardoned through His name and on account of confessing His name]. 13 I am writing to you, fathers, because you have come to know (recognize, be aware of, and understand) Him Who [has existed] from the beginning. I am writing to you, young men, because you have been victorious over the wicked [one]. I write to you, [j]boys (lads), because you have come to know (recognize and be aware) of the Father. 14 I write to you, fathers, because you have come to know (recognize, be conscious of, and understand) Him Who [has existed] from the beginning. I write to you, young men, because you are strong and vigorous, and the Word of God is [always] abiding in you (in your hearts), and you have been victorious over the wicked one. 15 Do not love or cherish the world or the things that are in the world. If anyone loves the world, love for the Father is not in him. 16 For all that is in the worldthe lust of the flesh [craving for sensual gratification] and the lust of the eyes [greedy longings of the mind] and the pride of life [assurance in ones own resources or in the stability of earthly things]these do not come from the Father but are from the world [itself]. 17 And the world passes away and disappears, and with it the forbidden cravings (the passionate desires, the lust) of it; but he who does the will of God and carries out His purposes in his life abides (remains) forever. 18 [k]Boys (lads), it is the last time (hour, the end of this age). And as you have heard that the antichrist [he who will oppose Christ in the guise of Christ] is coming, even now many antichrists have arisen, which confirms our belief that it is the final (the end) time. 19 They went out from our number, but they did not [really] belong to us; for if they had been of us, they would have remained with us. But [they withdrew] that it might be plain that they all are not of us. 20 But you have been anointed by [you hold a sacred appointment from, you have been given an unction from] the Holy One, and you all know [the Truth] or you know all things. 21 I write to you not because you are ignorant and do not perceive and know the Truth, but because you do perceive and know it, and [know positively] that nothing false (no deception, no lie) is of the Truth. 22 Who is [such a] liar as he who denies that Jesus is the Christ (the Messiah)? He is the antichrist (the antagonist of Christ), who [[l]habitually] denies and refuses to acknowledge the Father and the Son. 23 No one who [[m]habitually] denies (disowns) the Son [n]even has the Father. Whoever confesses (acknowledges and has) the Son has the Father also. 24 As for you, keep in your hearts what you have heard from the beginning. If what you heard from the first dwells and remains in you, then you will dwell in the Son and in the Father [always]. 25 And this is what He Himself has promised usthe life, the eternal [life]. 26 I write this to you with reference to those who would deceive you [seduce and lead you astray]. 27 But as for you, the anointing (the sacred appointment, the unction) which you received from Him abides [[o]permanently] in you; [so] then you have no need that anyone should instruct you. But just as His anointing teaches you concerning everything and is true and is no falsehood, so you must abide in (live in, never depart from) Him [being [p]rooted in Him, knit to Him], just as [His anointing] has taught you [to do]. 28 And now, little children, abide (live, remain [q]permanently) in Him, so that when He is made visible, we may have and enjoy perfect confidence (boldness, assurance) and not be ashamed and shrink from Him at His coming. 29 If you know (perceive and are sure) that He [Christ] is [absolutely] righteous [conforming to the Fathers will in purpose, thought, and action], you may also know (be sure) that everyone who does righteously [and is therefore in like manner conformed to the divine will] is born (begotten) of Him [[r]God]. "
21st Century King James Version,KJ21,1 John,5,,"Whosoever believeth that Jesus is the Christ is born of God, and every one that loveth Him that begot, loveth Him also that is begotten by Him. 2 By this we know that we love the children of God: when we love God and keep His commandments. 3 For this is the love of God: that we keep His commandments; and His commandments are not grievous. 4 For whosoever is born of God overcometh the world. And this is the victory that overcometh the world, even our faith. 5 Who is he that overcometh the world, but he that believeth that Jesus is the Son of God? 6 This is He that came by water and blood, even Jesus Christ; not by water only, but by water and blood. And it is the Spirit that beareth witness, because the Spirit is truth. 7 For there are three that bear record in Heaven: the Father, the Word, and the Holy Ghost; and these three are one. 8 And there are three that bear witness on earth: the Spirit, and the water, and the blood; and these three agree in one. 9 If we receive the witness of men, the witness of God is greater, for this is the witness of God which He hath testified of His Son. 10 He that believeth in the Son of God hath the witness in himself; he that believeth not God hath made Him a liar, because he believeth not the record that God gave of His Son. 11 And this is the record: that God hath given to us eternal life, and this life is in His Son. 12 He that hath the Son hath life, and he that hath not the Son hath not life. 13 These things I have written unto you that believe in the name of the Son of God, that ye may know that ye have eternal life, and that ye may believe in the name of the Son of God. 14 And this is the confidence that we have in Him: that if we ask anything according to His will, He heareth us. 15 And if we know that He hear us, whatsoever we ask, we know that we have the petitions that we desired of Him. 16 If any man see his brother sin a sin which is not unto death, he shall ask and He shall give him life, for those who sin not unto death. There is a sin unto death. I do not say that he shall pray about it. 17 All unrighteousness is sin, and there is a sin not unto death. 18 We know that whosoever is born of God sinneth not, but he that is begotten of God keepeth himself, and that wicked one toucheth him not. 19 And we know that we are of God, and the whole world lieth in wickedness. 20 And we know that the Son of God is come and hath given us an understanding, that we may know Him that is true; and we are in Him that is true, even in His Son Jesus Christ. This is the true God and Eternal Life. 21 Little children, keep yourselves from idols. Amen. "
American Standard Version,ASV,1 John,1,,"That which was from the beginning, that which we have heard, that which we have seen with our eyes, that which we beheld, and our hands handled, concerning the [a]Word of life 2 (and the life was manifested, and we have seen, and bear witness, and declare unto you the life, the eternal life, which was with the Father, and was manifested unto us); 3 that which we have seen and heard declare we unto you also, that ye also may have fellowship with us: yea, and our fellowship is with the Father, and with his Son Jesus Christ: 4 and these things we write, that [b]our joy may be made full. 5 And this is the message which we have heard from him and announce unto you, that God is light, and in him is no darkness at all. 6 If we say that we have fellowship with him and walk in the darkness, we lie, and do not the truth: 7 but if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus his Son cleanseth us from all sin. 8 If we say that we have no sin, we deceive ourselves, and the truth is not in us. 9 If we confess our sins, he is faithful and righteous to forgive us our sins, and to cleanse us from all unrighteousness. 10 If we say that we have not sinned, we make him a liar, and his word is not in us. "
Amplified Bible,AMP,1 John,4,Testing the Spirits,"Beloved, do not believe every spirit [speaking through a self-proclaimed prophet]; instead test the spirits to see whether they are from God, because many false prophets and teachers have gone out into the world. 2 By this you know and recognize the Spirit of God: every spirit that acknowledges and confesses [the fact] that Jesus Christ has [actually] come in the flesh [as a man] is from God [God is its source]; 3 and every spirit that does not confess Jesus [acknowledging that He has come in the flesh, but would deny any of the Sons true nature] is not of God; this is the spirit of the antichrist, which you have heard is coming, and is now already in the world. 4 Little children (believers, dear ones), you are of God and you belong to Him and have [already] overcome them [the agents of the antichrist]; because He who is in you is greater than he (Satan) who is in the world [of sinful mankind]. 5 They [who teach twisted doctrine] are of the world and belong to it; therefore they speak from the [viewpoint of the] world [with its immoral freedom and baseless theoriesdemanding compliance with their opinions and ridiculing the values of the upright], and the [gullible one of the] world listens closely and pays attention to them. 6 We [who teach Gods word] are from God [energized by the Holy Spirit], and whoever knows God [through personal experience] listens to us [and has a deeper understanding of Him]. Whoever is not of God does not listen to us. By this we know [without any doubt] the spirit of truth [motivated by God] and the spirit of error [motivated by Satan]. 7 Beloved, let us [unselfishly] [a]love and seek the best for one another, for love is from God; and everyone who loves [others] is born of God and knows God [through personal experience]. 8 The one who does not love has not become acquainted with God [does not and never did know Him], for God is love. [He is the originator of love, and it is an enduring attribute of His nature.] 9 By this the love of God was displayed in us, in that God has sent His [One and] only begotten Son [the One who is truly unique, the only One of His kind] into the world so that we might live through Him. 10 In this is love, not that we loved God, but that He loved us and sent His Son to be the propitiation [that is, the atoning sacrifice, and the satisfying offering] for our sins [fulfilling Gods requirement for justice against sin and placating His wrath]. 11 Beloved, if God so loved us [in this incredible way], we also ought to love one another. 12 No one has seen God at any time. But if we love one another [with unselfish concern], God abides in us, and His love [the love that is His essence abides in us and] is completed and perfected in us. 13 By this we know [with confident assurance] that we abide in Him and He in us, because He has given to us His [Holy] Spirit. 14 We [who were with Him in person] have seen and testify [as eye-witnesses] that the Father has sent the Son to be the Savior of the world. 15 Whoever confesses and acknowledges that Jesus is the Son of God, God abides in him, and he in God. 16 We have come to know [by personal observation and experience], and have believed [with deep, consistent faith] the love which God has for us. God is love, and the one who abides in love abides in God, and God abides continually in him. 17 In this [union and fellowship with Him], love is completed and perfected with us, so that we may have confidence in the day of judgment [with assurance and boldness to face Him]; because as He is, so are we in this world. 18 There is no fear in love [dread does not exist]. But perfect (complete, full-grown) love drives out fear, because fear involves [the expectation of divine] punishment, so the one who is afraid [of Gods judgment] is not perfected in love [has not grown into a sufficient understanding of Gods love]. 19 We love, because [b]He first loved us. 20 If anyone says, I love God, and hates (works against) his [Christian] brother he is a liar; for the one who does not love his brother whom he has seen, cannot love God whom he has not seen. 21 And this commandment we have from Him, that the one who loves God should also [unselfishly] love his brother and seek the best for him. "
Amplified Bible,AMP,1 John,5,Overcoming the World,"Everyone who believes [with a deep, abiding trust in the fact] that Jesus is the Christ (the Messiah, the Anointed) is born of God [that is, reborn from abovespiritually transformed, renewed, and set apart for His purpose], and everyone who loves the Father also loves [a]the child born of Him. 2 By this we know [without any doubt] that we love the children of God: [expressing that love] when we love God and obey His commandments. 3 For the [true] love of God is this: that we habitually keep His commandments and remain focused on His precepts. And His commandments and His precepts are not difficult [to obey]. 4 For [b]everyone born of God is victorious and overcomes the world; and this is the victory that has conquered and overcome the worldour [continuing, persistent] faith [in Jesus the Son of God]. 5 Who is the one who is victorious and overcomes the world? It is the one who believes and recognizes the fact that Jesus is the Son of God. 6 This is He who came through water and blood [His baptism and death], Jesus Christnot by the water only, but by the water and the blood. It is the [Holy] Spirit who testifies, because the Spirit is the truth. [He is the essence and origin of truth itself.] 7 For there are three witnesses: 8 the Spirit and the water and the blood; and these three are in agreement [their testimony is perfectly consistent]. 9 If we accept [as we do] the testimony of men [that is, if we are willing to take the sworn statements of fallible humans as evidence], the testimony of God is greater [far more authoritative]; for this is the testimony of God, that He has testified regarding His Son. 10 The one who believes in the Son of God [who adheres to, trusts in, and relies confidently on Him as Savior] has the testimony within himself [because he can speak authoritatively about Christ from his own personal experience]. The one who does not believe God [in this way] has made Him [out to be] a liar, because he has not believed in the evidence that God has given regarding His Son. 11 And the testimony is this: God has given us eternal life [we already possess it], and this life is in His Son [resulting in our spiritual completeness, and eternal companionship with Him]. 12 He who has the Son [by accepting Him as Lord and Savior] has the life [that is eternal]; he who does not have the Son of God [by personal faith] does not have the life. 13 These things I have written to you who believe in the name of the Son of God [which represents all that Jesus Christ is and does], so that you will know [with settled and absolute knowledge] that you [already] have eternal life. 14 This is the [remarkable degree of] confidence which we [as believers are entitled to] have before Him: that [c]if we ask anything according to His will, [that is, consistent with His plan and purpose] He hears us. 15 And if we know [for a fact, as indeed we do] that He hears and listens to us in whatever we ask, we [also] know [with settled and absolute knowledge] that we have [granted to us] the requests which we have asked from Him. 16 If anyone sees his brother committing a sin that does not lead to death, he will pray and ask [on the believers behalf] and God will for him give life to those whose sin is not leading to death. There is a sin that leads to death; I do not say that one should pray for this [kind of sin]. 17 All wrongdoing is sin, and there is sin that does not lead to death [one can repent of it and be forgiven]. 18 We know [with confidence] that anyone born of God does not habitually sin; but He (Jesus) who was born of God [carefully] keeps and protects him, and the evil one does not touch him. 19 We know [for a fact] that we are of God, and the whole world [around us] lies in the power of the evil one [opposing God and His precepts]. 20 And we [have seen and] know [by personal experience] that the Son of God has [actually] come [to this world], and has given us understanding and insight so that we may [progressively and personally] know Him who is true; and we are in Him who is truein His Son Jesus Christ. This is the true God and eternal life. 21 Little children (believers, dear ones), guard yourselves from idols[false teachings, moral compromises, and anything that would take Gods place in your heart]. "
BRG Bible,BRG,1 John,3,,"Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not. 2 Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is. 3 And every man that hath this hope in him purifieth himself, even as he is pure. 4 Whosoever committeth sin transgresseth also the law: for sin is the transgression of the law. 5 And ye know that he was manifested to take away our sins; and in him is no sin. 6 Whosoever abideth in him sinneth not: whosoever sinneth hath not seen him, neither known him. 7 Little children, let no man deceive you: he that doeth righteousness is righteous, even as he is righteous. 8 He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil. 9 Whosoever is born of God doth not commit sin; for his seed remaineth in him: and he cannot sin, because he is born of God. 10 In this the children of God are manifest, and the children of the devil: whosoever doeth not righteousness is not of God, neither he that loveth not his brother. 11 For this is the message that ye heard from the beginning, that we should love one another. 12 Not as Cain, who was of that wicked one, and slew his brother. And wherefore slew he him? Because his own works were evil, and his brothers righteous. 13 Marvel not, my brethren, if the world hate you. 14 We know that we have passed from death unto life, because we love the brethren. He that loveth not his brother abideth in death. 15 Whosoever hateth his brother is a murderer: and ye know that no murderer hath eternal life abiding in him. 16 Hereby perceive we the love of God, because he laid down his life for us: and we ought to lay down our lives for the brethren. 17 But whoso hath this worlds good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him? 18 My little children, let us not love in word, neither in tongue; but in deed and in truth. 19 And hereby we know that we are of the truth, and shall assure our hearts before him. 20 For if our heart condemn us, God is greater than our heart, and knoweth all things. 21 Beloved, if our heart condemn us not, then have we confidence toward God. 22 And whatsoever we ask, we receive of him, because we keep his commandments, and do those things that are pleasing in his sight. 23 And this is his commandment, That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment. 24 And he that keepeth his commandments dwelleth in him, and he in him. And hereby we know that he abideth in us, by the Spirit which he hath given us. "
American Standard Version,ASV,1 John,2,,"My little children, these things write I unto you that ye may not sin. And if any man sin, we have an [a]Advocate with the Father, Jesus Christ the righteous: 2 and he is the propitiation for our sins; and not for ours only, but also for the whole world. 3 And hereby we know that we know him, if we keep his commandments. 4 He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him; 5 but whoso keepeth his word, in him verily hath the love of God been perfected. Hereby we know that we are in him: 6 he that saith he abideth in him ought himself also to walk even as he walked. 7 Beloved, no new commandment write I unto you, but an old commandment which ye had from the beginning: the old commandment is the word which ye heard. 8 Again, a new commandment write I unto you, which thing is true in him and in you; because the darkness is passing away, and the true light already shineth. 9 He that saith he is in the light and hateth his brother, is in the darkness even until now. 10 He that loveth his brother abideth in the light, and there is no occasion of stumbling in him. 11 But he that hateth his brother is in the darkness, and walketh in the darkness, and knoweth not whither he goeth, because the darkness hath blinded his eyes. 12 I write unto you, my little children, because your sins are forgiven you for his names sake. 13 I write unto you, fathers, because ye know him who is from the beginning. I write unto you, young men, because ye have overcome the evil one. [b]I have written unto you, little children, because ye know the Father. 14 [c]I have written unto you, fathers, because ye know him who is from the beginning. [d]I have written unto you, young men, because ye are strong, and the word of God abideth in you, and ye have overcome the evil one. 15 Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him. 16 For all that is in the world, the lust of the flesh and the lust of the eyes and the vainglory of life, is not of the Father, but is of the world. 17 And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever. 18 Little children, it is the last hour: and as ye heard that antichrist cometh, even now have there arisen many antichrists; whereby we know that it is the last hour. 19 They went out from us, but they were not of us; for if they had been of us, they would have continued with us: but they went out, that they might be made manifest [e]that they all are not of us. 20 And ye have an anointing from the Holy One, [f]and ye know all things. 21 I have not written unto you because ye know not the truth, but because ye know it, and [g]because no lie is of the truth. 22 Who is the liar but he that denieth that Jesus is the Christ? This is the antichrist, even he that denieth the Father and the Son. 23 Whosoever denieth the Son, the same hath not the Father: he that confesseth the Son hath the Father also. 24 As for you, let that abide in you which ye heard from the beginning. If that which ye heard from the beginning abide in you, ye also shall abide in the Son, and in the Father. 25 And this is the promise which he promised [h]us, even the life eternal. 26 These things have I written unto you concerning them that would lead you astray. 27 And as for you, the anointing which ye received of him abideth in you, and ye need not that any one teach you; but as his anointing teacheth you concerning all things, [i]and is true, and is no lie, and even as it taught you, [j]ye abide in him. 28 And now, my little children, abide in him; that, if he shall be manifested, we may have boldness, and not be ashamed [k]before him at his [l]coming. 29 If ye know that he is righteous, [m]ye know that every one also that doeth righteousness is begotten of him. "
American Standard Version,ASV,1 John,3,,"Behold what manner of love the Father hath bestowed upon us, that we should be called children of God; and such we are. For this cause the world knoweth us not, because it knew him not. 2 Beloved, now are we children of God, and it is not yet made manifest what we shall be. We know that, if [a]he shall be manifested, we shall be like him; for we shall see him even as he is. 3 And every one that hath this hope set on him purifieth himself, even as he is pure. 4 Every one that doeth sin doeth also lawlessness; and sin is lawlessness. 5 And ye know that he was manifested to [b]take away sins; and in him is no sin. 6 Whosoever abideth in him sinneth not: whosoever sinneth hath not seen him, neither [c]knoweth him. 7 My little children, let no man lead you astray: he that doeth righteousness is righteous, even as he is righteous: 8 he that doeth sin is of the devil; for the devil sinneth from the beginning. To this end was the Son of God manifested, that he might destroy the works of the devil. 9 Whosoever is begotten of God doeth no sin, because his seed abideth in him: and he cannot sin, because he is begotten of God. 10 In this the children of God are manifest, and the children of the devil: whosoever doeth not righteousness is not of God, neither he that loveth not his brother. 11 For this is the message which ye heard from the beginning, that we should love one another: 12 not as Cain was of the evil one, and slew his brother. And wherefore slew he him? Because his works were evil, and his brothers righteous. 13 Marvel not, brethren, if the world hateth you. 14 We know that we have passed out of death into life, because we love the brethren. He that loveth not abideth in death. 15 Whosoever hateth his brother is a murderer: and ye know that no murderer hath eternal life abiding in him. 16 Hereby know we love, because he laid down his life for us: and we ought to lay down our lives for the brethren. 17 But whoso hath the worlds goods, and beholdeth his brother in need, and shutteth up his compassion from him, how doth the love of God abide in him? 18 My little children, let us not love in word, neither with the tongue; but in deed and truth. 19 Hereby shall we know that we are of the truth, and shall [d]assure our heart [e]before him: 20 because if our heart condemn us, God is greater than our heart, and knoweth all things. 21 Beloved, if our heart condemn us not, we have boldness toward God; 22 and whatsoever we ask we receive of him, because we keep his commandments and do the things that are pleasing in his sight. 23 And this is his commandment, that we should [f]believe in the name of his Son Jesus Christ, and love one another, even as he gave us commandment. 24 And he that keepeth his commandments abideth in him, and he in him. And hereby we know that he abideth in us, by the Spirit which he gave us. "
Amplified Bible,AMP,1 John,2,Christ Is Our Advocate,"My little children (believers, dear ones), I am writing you these things so that you will not sin and violate Gods law. And if anyone sins, we have an Advocate [who will intercede for us] with the Father: Jesus Christ the righteous [the upright, the just One, who conforms to the Fathers will in every waypurpose, thought, and action]. 2 And He [that same Jesus] is the propitiation for our sins [the atoning sacrifice that holds back the wrath of God that would otherwise be directed at us because of our sinful natureour worldliness, our lifestyle]; and not for ours alone, but also for [the sins of all believers throughout] the whole world. 3 And this is how we know [daily, by experience] that we have come to know Him [to understand Him and be more deeply acquainted with Him]: if we habitually keep [focused on His precepts and obey] His commandments (teachings). 4 Whoever says, I have come to know Him, but does not habitually keep [focused on His precepts and obey] His commandments (teachings), is a liar, and the truth [of the divine word] is not in him. 5 But whoever habitually keeps His word and obeys His precepts [and treasures His message in its entirety], in him the love of God has truly been perfected [it is completed and has reached maturity]. By this we know [for certain] that we are in Him: 6 whoever says he lives in Christ [that is, whoever says he has accepted Him as God and Savior] ought [as a moral obligation] to walk and conduct himself just as He walked and conducted Himself. 7 Beloved, I am not writing a new commandment to you, but an old commandment which you have had from the beginning; the old commandment is the message which you have heard [before from us]. 8 On the other hand, I am writing a new commandment to you, which is true and realized in Christ and in you, because the darkness [of moral blindness] is clearing away and the true Light [the revelation of God in Christ] is already shining. 9 The one who says he is in the Light [in consistent fellowship with Christ] and yet [a]habitually hates (works against) his brother [in Christ] is in the darkness until now. 10 The one who [b]loves and unselfishly seeks the best for his [believing] brother lives in the Light, and in him there is no occasion for stumbling or offense [he does not hurt the cause of Christ or lead others to sin]. 11 But the one who habitually hates (works against) his brother [in Christ] is in [spiritual] darkness and is walking in the darkness, and does not know where he is going because the darkness has blinded his eyes. 12 I am writing to you, little children (believers, dear ones), because your sins have been forgiven for His names sake [you have been pardoned and released from spiritual debt through His name because you have confessed His name, believing in Him as Savior]. 13 I am writing to you, fathers [those believers who are spiritually mature], because you know Him who has existed from the beginning. I am writing to you, young men [those believers who are growing in spiritual maturity], because you have been victorious and have overcome the evil one. I have written to you, children [those who are new believers, those spiritually immature], because you have come to know the Father. 14 I have written to you, fathers, because you know Him who has existed from the beginning. I have written to you, young men, because you are strong and vigorous, and the word of God remains [always] in you, and you have been victorious over the evil one [by accepting Jesus as Savior]. 15 Do not love the world [of sin that opposes God and His precepts], nor the things that are in the world. If anyone loves the world, the love of the Father is not in him. 16 For all that is in the worldthe lust and sensual craving of the flesh and the lust and longing of the eyes and the boastful pride of life [pretentious confidence in ones resources or in the stability of earthly things]these do not come from the Father, but are from the world. 17 The world is passing away, and with it its lusts [the shameful pursuits and ungodly longings]; but the one who does the will of God and carries out His purposes lives forever. 18 Children, it is the last hour [the end of this age]; and just as you heard that the antichrist is coming [the one who will oppose Christ and attempt to replace Him], even now many antichrists (false teachers) have appeared, which confirms our belief that it is the last hour. 19 They went out from us [seeming at first to be Christians], but they were not really of us [because they were not truly born again and spiritually transformed]; for if they had been of us, they would have remained with us; but they went out [teaching false doctrine], so that it would be clearly shown that none of them are of us. 20 But you have an anointing from the Holy One [you have been set apart, specially gifted and prepared by the Holy Spirit], and all of you know [the truth because He teaches us, illuminates our minds, and guards us from error]. 21 I have not written to you because you do not know the truth, but because you do know it, and because no lie [nothing false, no deception] is of the truth. 22 Who is the liar but the one who denies that Jesus is the Christ (the Messiah, the Anointed)? This is the antichrist [the enemy and antagonist of Christ], the one who denies and consistently refuses to acknowledge the Father and the Son. 23 Whoever denies and repudiates the Son does not have the Father; the one who confesses and acknowledges the Son has the Father also. 24 As for you, let that remain in you [keeping in your hearts that message of salvation] which you heard from the beginning. If what you heard from the beginning remains in you, you too will remain in the Son and in the Father [forever]. 25 This is the promise which He Himself promised useternal life. 26 These things I have written to you with reference to those who are trying to deceive you [seducing you and leading you away from the truth and sound doctrine]. 27 As for you, the anointing [the special gift, the preparation] which you received from Him remains [permanently] in you, and you have no need for anyone to teach you. But just as His anointing teaches you [giving you insight through the presence of the Holy Spirit] about all things, and is true and is not a lie, and just as His anointing has taught you, [c]you must remain in Him [being rooted in Him, knit to Him]. 28 Now, little children (believers, dear ones), remain in Him [with unwavering faith], so that when He appears [at His return], we may have [perfect] confidence and not be ashamed and shrink away from Him at His coming. 29 If you know that He is absolutely righteous, you know [for certain] that everyone who practices righteousness [doing what is right and conforming to Gods will] has been born of Him. "
21st Century King James Version,KJ21,1 John,4,,"Beloved, believe not every spirit, but test the spirits whether they are of God, because many false prophets have gone out into the world. 2 Hereby know ye the Spirit of God: Every spirit that confesseth that Jesus Christ is come in the flesh, is of God. 3 And every spirit that confesseth not that Jesus Christ is come in the flesh, is not of God; and such is the spirit of Antichrist, whereof ye have heard that it should come, and even now already it is in the world. 4 Ye are of God, little children, and have overcome them, because greater is He that is in you than he that is in the world. 5 They are of the world; therefore they speak of the world, and the world heareth them. 6 We are of God; he that knoweth God heareth us; he that is not of God heareth not us. Hereby we know the Spirit of truth, and the spirit of error. 7 Beloved, let us love one another, for love is of God, and every one that loveth is born of God and knoweth God. 8 He that loveth not, knoweth not God, for God is love. 9 In this was manifested the love of God toward us: that God sent His only begotten Son into the world, that we might live through Him. 10 Herein is love: not that we loved God, but that He loved us and sent His Son to be the propitiation for our sins. 11 Beloved, if God so loved us, we ought also to love one another. 12 No man hath seen God at any time. If we love one another, God dwelleth in us, and His love is perfected in us. 13 Hereby we know that we dwell in Him and He in us: because He hath given us of His Spirit. 14 And we have seen and do testify that the Father sent the Son to be the Savior of the world. 15 Whosoever shall confess that Jesus is the Son of God, God dwelleth in him, and he in God. 16 And we have known and believed the love that God hath for us. God is love, and he that dwelleth in love dwelleth in God, and God in him. 17 Herein is our love made perfect, that we may have boldness in the Day of Judgment; because as He is, so are we in this world. 18 There is no fear in love; but perfect love casteth out fear, because fear hath torment. He that feareth is not made perfect in love. 19 We love Him, because He first loved us. 20 If a man say, I love God, and hateth his brother, he is a liar. For he that loveth not his brother whom he hath seen, how can he love God whom he hath not seen? 21 And this commandment we have from Him: that he who loveth God love his brother also. "
