Version,ID,Book,Chapter,Chapter Title,Content
New International Version,NIV,1 Kings,1,Adonijah Sets Himself Up as King,NIV_1_Kings_1_2024-03-07.html
New International Version,NIV,1 Kings,2,Davids Charge to Solomon(A),NIV_1_Kings_2_2024-03-07.html
New International Version,NIV,1 Kings,3,Solomon Asks for Wisdom(A),NIV_1_Kings_3_2024-03-07.html
New International Version,NIV,1 Kings,4,Solomons Officials and Governors,NIV_1_Kings_4_2024-03-07.html
New International Version,NIV,1 Kings,5,Preparations for Building the Temple(A),NIV_1_Kings_5_2024-03-07.html
New International Version,NIV,1 Kings,6,Solomon Builds the Temple(A),NIV_1_Kings_6_2024-03-07.html
New International Version,NIV,1 Kings,7,Solomon Builds His Palace,NIV_1_Kings_7_2024-03-07.html
New International Version,NIV,1 Kings,8,The Ark Brought to the Temple(A),NIV_1_Kings_8_2024-03-07.html
New International Version,NIV,1 Kings,9,TheLordAppears to Solomon(A),NIV_1_Kings_9_2024-03-07.html
New International Version,NIV,1 Kings,10,The Queen of Sheba Visits Solomon(A),NIV_1_Kings_10_2024-03-07.html
New International Version,NIV,1 Kings,11,Solomons Wives,NIV_1_Kings_11_2024-03-07.html
New International Version,NIV,1 Kings,12,Israel Rebels Against Rehoboam(A),NIV_1_Kings_12_2024-03-07.html
New International Version,NIV,1 Kings,13,The Man of God From Judah,NIV_1_Kings_13_2024-03-07.html
New International Version,NIV,1 Kings,14,Ahijahs Prophecy Against Jeroboam,NIV_1_Kings_14_2024-03-07.html
New International Version,NIV,1 Kings,15,Abijah King of Judah(A),NIV_1_Kings_15_2024-03-07.html
New International Version,NIV,1 Kings,16,Elah King of Israel,NIV_1_Kings_16_2024-03-07.html
New International Version,NIV,1 Kings,17,Elijah Announces a Great Drought,NIV_1_Kings_17_2024-03-07.html
New International Version,NIV,1 Kings,18,Elijah and Obadiah,NIV_1_Kings_18_2024-03-07.html
New International Version,NIV,1 Kings,19,Elijah Flees to Horeb,NIV_1_Kings_19_2024-03-07.html
New International Version,NIV,1 Kings,20,Ben-Hadad Attacks Samaria,NIV_1_Kings_20_2024-03-07.html
New International Version,NIV,1 Kings,21,Naboths Vineyard,NIV_1_Kings_21_2024-03-07.html
New International Version,NIV,1 Kings,22,Micaiah Prophesies Against Ahab(A),NIV_1_Kings_22_2024-03-07.html
